Wavelength (nm),Absorbance (AU)
900.025463,1.258885
905.273967,1.258875
910.514738,1.270169
915.747775,1.275843
920.973079,1.284581
926.190650,1.293423
931.400488,1.303373
936.602593,1.308908
941.796964,1.320481
946.983603,1.335735
952.162508,1.351365
956.041612,1.367425
961.206984,1.385997
966.364623,1.401380
971.514529,1.408925
976.656701,1.412678
981.791141,1.415446
986.917847,1.416679
992.036820,1.413039
997.148060,1.409672
1002.251567,1.405072
1007.347340,1.400148
1011.164096,1.397133
1016.246336,1.388976
1021.320844,1.383319
1026.387618,1.376765
1031.446659,1.368593
1036.497966,1.364737
1041.541541,1.358422
1046.577383,1.353401
1051.605491,1.347808
1056.625866,1.345840
1060.386072,1.342587
1065.392914,1.341580
1070.392023,1.338882
1075.383399,1.336916
1080.367042,1.337820
1085.342951,1.338104
1090.311127,1.339029
1095.271570,1.339694
1100.224280,1.343045
1105.169257,1.346227
1110.106500,1.349298
1113.804358,1.350217
1118.728068,1.355300
1123.644046,1.360790
1128.552290,1.369777
1133.452801,1.385779
1138.345578,1.409504
1143.230623,1.439705
1148.107934,1.469549
1152.977513,1.493277
1157.839358,1.511466
1162.693470,1.525553
1166.328979,1.530036
1171.169557,1.533525
1176.002403,1.537842
1180.827515,1.542050
1185.644895,1.546924
1190.454541,1.553696
1195.256454,1.556437
1200.050634,1.561249
1204.837080,1.563711
1209.615794,1.563466
1213.194754,1.564009
1217.959934,1.563305
1222.717381,1.559772
1227.467095,1.556530
1232.209076,1.553635
1236.943324,1.548984
1241.669838,1.546480
1246.388620,1.543457
1251.099668,1.543873
1255.802983,1.541542
1260.498565,1.541059
1264.015176,1.539905
1268.697225,1.540675
1273.371541,1.541915
1278.038123,1.543665
1282.696972,1.546610
1287.348088,1.551189
1291.991471,1.556974
1296.627121,1.563558
1301.255037,1.571455
1305.875221,1.583834
1310.487671,1.596668
1313.941934,1.607512
1318.540851,1.622804
1323.132035,1.640309
1327.715486,1.659312
1332.291203,1.680683
1336.859188,1.701384
1341.419439,1.719803
1345.971957,1.737705
1350.516742,1.754631
1355.053794,1.769869
1358.451508,1.780904
1362.975026,1.797062
1367.490812,1.814141
1371.998864,1.838201
1376.499183,1.868781
1380.991769,1.910743
1385.476622,1.959629
1389.953742,2.018932
1394.423128,2.078244
1398.884781,2.137166
1403.338702,2.178810
1406.674067,2.207221
1411.114454,2.231388
1415.547108,2.259486
1419.972028,2.269954
1424.389216,2.280357
1428.798670,2.292720
1433.200392,2.303828
1437.594380,2.309781
1441.980634,2.309694
1446.359156,2.315865
1450.729945,2.320260
1454.002961,2.315237
1458.360217,2.313345
1462.709739,2.317039
1467.051528,2.316676
1471.385584,2.318122
1475.711907,2.310383
1480.030496,2.301859
1484.341353,2.300243
1488.644476,2.291471
1492.939866,2.285691
1496.156333,2.279406
1500.438190,2.273709
1504.712314,2.263741
1508.978705,2.255613
1513.237362,2.243978
1517.488287,2.234028
1521.731478,2.225048
1525.966936,2.215088
1530.194661,2.207465
1534.414652,2.194565
1538.626911,2.185280
1541.781030,2.180410
1545.979755,2.173688
1550.170747,2.160871
1554.354006,2.151664
1558.529532,2.144070
1562.697325,2.132189
1566.857384,2.119088
1571.009711,2.113370
1575.154304,2.094059
1579.291164,2.091680
1583.420291,2.083177
1586.512061,2.080271
1590.627655,2.068712
1594.735515,2.061777
1598.835643,2.056100
1602.928037,2.046839
1607.012698,2.038314
1611.089626,2.041568
1615.158820,2.034692
1619.220282,2.026506
1623.274010,2.027321
1626.309232,2.026349
1630.349427,2.019066
1634.381889,2.013894
1638.406618,2.008709
1642.423614,2.000559
1646.432877,1.999717
1650.434406,1.996037
1654.428202,1.988664
1658.414265,1.986065
1662.392595,1.986995
1666.363192,1.983593
1669.336065,1.968018
1673.293128,1.954730
1677.242459,1.939346
1681.184056,1.948662
1685.117920,1.924213
1689.044051,1.936078
1692.962449,1.944633
1696.873114,1.945894
1700.776045,1.953960
900.025463,2.766445
905.273967,2.699475
910.514738,2.650562
915.747775,2.606482
920.973079,2.558402
926.190650,2.496528
931.400488,2.438220
936.602593,2.388353
941.796964,2.350126
946.983603,2.323656
952.162508,2.302147
956.041612,2.288690
961.206984,2.272401
966.364623,2.254772
971.514529,2.235663
976.656701,2.216441
981.791141,2.195654
986.917847,2.175681
992.036820,2.157359
997.148060,2.141353
1002.251567,2.126541
1007.347340,2.114895
1011.164096,2.105576
1016.246336,2.097220
1021.320844,2.088887
1026.387618,2.082012
1031.446659,2.076473
1036.497966,2.070626
1041.541541,2.065924
1046.577383,2.061580
1051.605491,2.057023
1056.625866,2.054116
1060.386072,2.052902
1065.392914,2.049629
1070.392023,2.046681
1075.383399,2.042256
1080.367042,2.038265
1085.342951,2.034850
1090.311127,2.031679
1095.271570,2.027965
1100.224280,2.024220
1105.169257,2.020478
1110.106500,2.018300
1113.804358,2.015883
1118.728068,2.014312
