Wavelength (nm),Absorbance (AU)
900.025463,1.147501
905.273967,1.146254
910.514738,1.153219
915.747775,1.162448
920.973079,1.171227
926.190650,1.175816
931.400488,1.185365
936.602593,1.190609
941.796964,1.200068
946.983603,1.215077
952.162508,1.230722
956.041612,1.244284
961.206984,1.261089
966.364623,1.274888
971.514529,1.284413
976.656701,1.288796
981.791141,1.294480
986.917847,1.295709
992.036820,1.295415
997.148060,1.293099
1002.251567,1.290636
1007.347340,1.286137
1011.164096,1.283162
1016.246336,1.278886
1021.320844,1.273723
1026.387618,1.268342
1031.446659,1.262289
1036.497966,1.257884
1041.541541,1.252870
1046.577383,1.247388
1051.605491,1.244026
1056.625866,1.241544
1060.386072,1.239412
1065.392914,1.238035
1070.392023,1.236237
1075.383399,1.235717
1080.367042,1.236101
1085.342951,1.236166
1090.311127,1.237527
1095.271570,1.238564
1100.224280,1.242023
1105.169257,1.244311
1110.106500,1.247351
1113.804358,1.250092
1118.728068,1.253029
1123.644046,1.259025
1128.552290,1.268685
1133.452801,1.282595
1138.345578,1.304353
1143.230623,1.330665
1148.107934,1.358964
1152.977513,1.383017
1157.839358,1.401424
1162.693470,1.413979
1166.328979,1.420065
1171.169557,1.426256
1176.002403,1.432048
1180.827515,1.437571
1185.644895,1.443259
1190.454541,1.449979
1195.256454,1.456011
1200.050634,1.459147
1204.837080,1.462290
1209.615794,1.465026
1213.194754,1.466001
1217.959934,1.466069
1222.717381,1.465539
1227.467095,1.465417
1232.209076,1.461860
1236.943324,1.461781
1241.669838,1.461221
1246.388620,1.460141
1251.099668,1.460067
1255.802983,1.458993
1260.498565,1.459247
1264.015176,1.458930
1268.697225,1.460061
1273.371541,1.461281
1278.038123,1.464223
1282.696972,1.467016
1287.348088,1.471434
1291.991471,1.477553
1296.627121,1.484182
1301.255037,1.493018
1305.875221,1.504277
1310.487671,1.516501
1313.941934,1.527738
1318.540851,1.542853
1323.132035,1.558780
1327.715486,1.577186
1332.291203,1.596523
1336.859188,1.615387
1341.419439,1.634720
1345.971957,1.651101
1350.516742,1.665142
1355.053794,1.680011
1358.451508,1.691046
1362.975026,1.704610
1367.490812,1.720901
1371.998864,1.740243
1376.499183,1.765740
1380.991769,1.802692
1385.476622,1.846268
1389.953742,1.898480
1394.423128,1.955379
1398.884781,2.008574
1403.338702,2.054538
1406.674067,2.081629
1411.114454,2.111344
1415.547108,2.143260
1419.972028,2.161441
1424.389216,2.176966
1428.798670,2.189913
1433.200392,2.200008
1437.594380,2.213553
1441.980634,2.219690
1446.359156,2.229315
1450.729945,2.234124
1454.002961,2.230294
1458.360217,2.231460
1462.709739,2.232712
1467.051528,2.234447
1471.385584,2.230862
1475.711907,2.224585
1480.030496,2.218551
1484.341353,2.218045
1488.644476,2.207478
1492.939866,2.203116
1496.156333,2.197155
1500.438190,2.189665
1504.712314,2.179177
1508.978705,2.170489
1513.237362,2.165873
1517.488287,2.152892
1521.731478,2.151606
1525.966936,2.138914
1530.194661,2.134900
1534.414652,2.126800
1538.626911,2.114829
1541.781030,2.112926
1545.979755,2.102586
1550.170747,2.096468
1554.354006,2.092127
1558.529532,2.082440
1562.697325,2.070296
1566.857384,2.064927
1571.009711,2.061401
1575.154304,2.051236
1579.291164,2.044504
1583.420291,2.036438
1586.512061,2.034234
1590.627655,2.031789
1594.735515,2.019968
1598.835643,2.018092
1602.928037,2.012153
1607.012698,2.004761
1611.089626,2.005400
1615.158820,2.003705
1619.220282,1.999094
1623.274010,1.996961
1626.309232,1.999473
1630.349427,1.993705
1634.381889,1.983411
1638.406618,1.986603
1642.423614,1.985616
1646.432877,1.976111
1650.434406,1.974106
1654.428202,1.972681
1658.414265,1.965602
1662.392595,1.964188
1666.363192,1.956870
1669.336065,1.944530
1673.293128,1.934767
1677.242459,1.915105
1681.184056,1.908224
1685.117920,1.896562
1689.044051,1.913728
1692.962449,1.903308
1696.873114,1.920993
1700.776045,1.917378
900.025463,2.648665
905.273967,2.584877
910.514738,2.535700
915.747775,2.490404
920.973079,2.440879
926.190650,2.379107
931.400488,2.321643
936.602593,2.270750
941.796964,2.230452
946.983603,2.201946
952.162508,2.179234
956.041612,2.165191
961.206984,2.147868
966.364623,2.130058
971.514529,2.111868
976.656701,2.093157
981.791141,2.074452
986.917847,2.056898
992.036820,2.040514
997.148060,2.025128
1002.251567,2.012024
1007.347340,2.001448
1011.164096,1.994161
1016.246336,1.986215
1021.320844,1.980028
1026.387618,1.973991
1031.446659,1.969065
1036.497966,1.964431
1041.541541,1.959809
1046.577383,1.956469
1051.605491,1.952987
1056.625866,1.950194
1060.386072,1.949282
1065.392914,1.946209
1070.392023,1.944177
1075.383399,1.940162
1080.367042,1.936397
1085.342951,1.933139
1090.311127,1.929966
1095.271570,1.926527
1100.224280,1.923481
1105.169257,1.919661
1110.106500,1.916653
1113.804358,1.915108
1118.728068,1.912884
1123.644046,1.914109
1128.552290,1.919139
1133.452801,1.929678
1138.345578,1.944646
1143.230623,1.963589
1148.107934,1.983115
1152.977513,1.999304
1157.839358,2.011767
1162.693470,2.017656
1166.328979,2.019311
1171.169557,2.019899
1176.002403,2.016267
1180.827515,2.011296
1185.644895,2.006959
1190.454541,2.000676
1195.256454,1.992797
1200.050634,1.982781
1204.837080,1.972350
1209.615794,1.959802
1213.194754,1.950483
1217.959934,1.937346
1222.717381,1.921990
1227.467095,1.907032
1232.209076,1.891199
1236.943324,1.875961
1241.669838,1.859902
1246.388620,1.844654
1251.099668,1.830202
1255.802983,1.814953
1260.498565,1.801538
1264.015176,1.790150
1268.697225,1.776478
1273.371541,1.763608
1278.038123,1.751836
1282.696972,1.742288
1287.348088,1.734420
1291.991471,1.727551
1296.627121,1.723096
1301.255037,1.721570
1305.875221,1.721518
1310.487671,1.725310
1313.941934,1.728397
1318.540851,1.735776
1323.132035,1.745764
1327.715486,1.756752
1332.291203,1.769974
1336.859188,1.782920
1341.419439,1.795774
1345.971957,1.808149
1350.516742,1.818653
1355.053794,1.830202
1358.451508,1.838506
1362.975026,1.849453
1367.490812,1.862121
1371.998864,1.879524
1376.499183,1.902142
1380.991769,1.933771
1385.476622,1.972887
1389.953742,2.018691
1394.423128,2.066922
1398.884781,2.115687
1403.338702,2.160657
